Code,Name,Country,Exchange,Currency,Type,Isin,ticker,name
ATEC,Betashares S&P/ASX Australian Technology ETF,Australia,AU,AUD,ETF,AU0000075467,ATEC,Betashares S&P/ASX Australian Technology ETF
ATG,Articore Group Ltd,Australia,AU,AUD,Common Stock,AU000000RBL2,ATG,Articore Group Ltd
ATH,Alterity Therapeutics Ltd,Australia,AU,AUD,Common Stock,AU0000043945,ATH,Alterity Therapeutics Ltd
ATM,Aneka Tambang (Persero) TBK (PT),Australia,AU,AUD,Common Stock,AU000000ATM8,ATM,Aneka Tambang (Persero) TBK (PT)
ATOM,Global X Uranium ETF,Australia,AU,AUD,ETF,,ATOM,Global X Uranium ETF
ATP,Atlas Pearls Ltd,Australia,AU,AUD,Common Stock,AU000000ATP1,ATP,Atlas Pearls Ltd
ATR,Astron Corporation Ltd,Australia,AU,AUD,Common Stock,AU000000ATR7,ATR,Astron Corporation Ltd
ATRDA,Ordinary Fully Paid Deferred Settlement,Australia,AU,AUD,Common Stock,AU0000404659,ATRDA,Ordinary Fully Paid Deferred Settlement
ATS,Australis Oil & Gas Ltd,Australia,AU,AUD,Common Stock,AU000000ATS5,ATS,Australis Oil & Gas Ltd
ATV,Activeport Group Ltd,Australia,AU,AUD,Common Stock,AU0000171910,ATV,Activeport Group Ltd
ATX,Amplia Therapeutics Ltd,Australia,AU,AUD,Common Stock,AU0000023822,ATX,Amplia Therapeutics Ltd
AU1,The Agency Group Australia Ltd,Australia,AU,AUD,Common Stock,AU000000AU12,AU1,The Agency Group Australia Ltd
AUA,Audeara Ltd,Australia,AU,AUD,Common Stock,AU0000145807,AUA,Audeara Ltd
AUB,AUB Group Ltd,Australia,AU,AUD,Common Stock,AU000000AUB9,AUB,AUB Group Ltd
AUC,Ausgold Ltd,Australia,AU,AUD,Common Stock,AU000000AUC7,AUC,Ausgold Ltd
AUDS,Betashares Strong Australian Dollar Complex ETF,Australia,AU,AUD,ETF,AU00000AUDS2,AUDS,Betashares Strong Australian Dollar Complex ETF
AUE,Aurum Resources Ltd,Australia,AU,AUD,Common Stock,AU0000173478,AUE,Aurum Resources Ltd
AUG,Augustus Minerals Ltd,Australia,AU,AUD,Common Stock,,AUG,Augustus Minerals Ltd
AUH,Austchina Holdings Ltd,Australia,AU,AUD,Common Stock,AU000000AUH6,AUH,Austchina Holdings Ltd
AUI,Australian United Investment Company Ltd,Australia,AU,AUD,Common Stock,AU000000AUI4,AUI,Australian United Investment Company Ltd
AUK,Aumake Ltd,Australia,AU,AUD,Common Stock,AU0000123432,AUK,Aumake Ltd
AUMF,Ishares Edge MSCI Australia Multifactor ETF,Australia,AU,AUD,ETF,AU00000AUMF0,AUMF,Ishares Edge MSCI Australia Multifactor ETF
AUN,Aurumin Ltd,Australia,AU,AUD,Common Stock,AU0000110850,AUN,Aurumin Ltd
AUQ,Alara Resources Ltd,Australia,AU,AUD,Common Stock,AU000000AUQ7,AUQ,Alara Resources Ltd
AUR,Auris Minerals Ltd,Australia,AU,AUD,Common Stock,AU000000AUR5,AUR,Auris Minerals Ltd
AUST,Betashares Managed Risk Australian Shares Complex ETF,Australia,AU,AUD,ETF,AU00000AUST8,AUST,Betashares Managed Risk Australian Shares Complex ETF
AUZ,Australian Mines Ltd,Australia,AU,AUD,Common Stock,AU000000AUZ8,AUZ,Australian Mines Ltd
AV1,Adveritas Ltd,Australia,AU,AUD,Common Stock,AU0000033946,AV1,Adveritas Ltd
AVA,AVA Risk Group Ltd,Australia,AU,AUD,Common Stock,AU0000010845,AVA,AVA Risk Group Ltd
AVD,Avada Group Ltd,Australia,AU,AUD,Common Stock,AU0000187932,AVD,Avada Group Ltd
AVE,Avecho Biotechnology Ltd,Australia,AU,AUD,Common Stock,AU0000047441,AVE,Avecho Biotechnology Ltd
AVG,Australian Vintage Ltd,Australia,AU,AUD,Common Stock,AU000000AVG6,AVG,Australian Vintage Ltd
AVH,Avita Medical Inc,Australia,AU,AUD,Common Stock,AU000000AVH4,AVH,Avita Medical Inc
